G_NUMBER	country	lineage	sublineage	isolation_date	new_id
G20944	Malawi	L4	L4.3.4.2.1	18-09-2002	G20944/18-09-2002/1
G20945	Malawi	L4	L4.3.4.1	14-10-1998	G20945/14-10-1998/1
G20946	Malawi	L4	L4.3.4.2.1	29-06-2000	G20946/29-06-2000/1
G20947	Malawi	L4	L4.3.2.1	31-08-1999	G20947/31-08-1999/1
G20948	Malawi	L4	L4.3.4.2.1	27-06-2003	G20948/27-06-2003/1
G20949	Malawi	L4	L4.3.4.2.1	10-04-2003	G20949/10-04-2003/1
G20950	Malawi	L4	L4.3.3	10-03-2005	G20950/10-03-2005/1
G20951	Malawi	L4	L4.3.4.2.1	10-02-2002	G20951/10-02-2002/1
G20952	Malawi	L4	NA	14-02-2005	G20952/14-02-2005/1
G20953	Malawi	L4	L4.3.4.2.1	01-02-2005	G20953/01-02-2005/1
G20954	Malawi	L4	L4.3.4.2.1	18-01-2005	G20954/18-01-2005/1
G20955	Malawi	L4	L4.3.4.2.1	03-04-2005	G20955/03-04-2005/1
G20956	Malawi	L4	L4.3.4.2.1	14-10-2005	G20956/14-10-2005/1
G20957	Malawi	L4	L4.3.4.2.1	18-10-2005	G20957/18-10-2005/1
G20958	Malawi	L4	L4.3.4.2.1	01-07-2005	G20958/01-07-2005/1
G20959	Malawi	L4	L4.3.4.2.1	10-10-2006	G20959/10-10-2006/1
G20960	Malawi	L4	L4.3.4.2.1	10-10-2006	G20960/10-10-2006/1
G20961	Malawi	L4	L4.3.4.2.1	06-11-2006	G20961/06-11-2006/1
G20962	Malawi	L4	L4.3.4.2.1	08-08-2007	G20962/08-08-2007/1
G20963	Malawi	L4	L4.3.4.1	03-10-2007	G20963/03-10-2007/1
G20964	Malawi	L4	L4.3.4.2.1	10-01-2008	G20964/10-01-2008/1
G20965	Malawi	L4	L4.3.4.2.1	22-01-2008	G20965/22-01-2008/1
G20967	Malawi	L4	L4.3.4.2.1	12-11-2008	G20967/12-11-2008/1
G20968	Malawi	L4	L4.3.4.2.1	26-01-2009	G20968/26-01-2009/1
G20969	Malawi	L4	L4.3.3	05-02-2009	G20969/05-02-2009/1
G20970	Malawi	L4	L4.3.3	07-01-2009	G20970/07-01-2009/1
G20971	Malawi	L4	L4.3.4.2.1	13-12-2008	G20971/13-12-2008/1
G20972	Malawi	L4	L4.3.4.2.1	24-11-2008	G20972/24-11-2008/1
G20973	Malawi	L4	L4.3.4.1	08-08-2002	G20973/08-08-2002/1
G20975	Malawi	L4	L4.3.4.2.1	24-02-1997	G20975/24-02-1997/1
G20976	Malawi	L4	L4.1.1.3	16-12-2002	G20976/16-12-2002/1
G20977	Malawi	L4	L4.3.4.2.1	12-07-2010	G20977/12-07-2010/1
G20978	Malawi	L4	L4.3.4.2.1	05-08-2010	G20978/05-08-2010/1
G20979	Malawi	L4	L4.3.4.2.1	16-08-2010	G20979/16-08-2010/1
G20981	Malawi	L4	L4.3.4.2.1	19-08-2010	G20981/19-08-2010/1
G20983	Malawi	L4	L4.3.4.2.1	01-09-2010	G20983/01-09-2010/1
G20984	Malawi	L4	L4.1.2	07-09-2010	G20984/07-09-2010/1
G20985	Malawi	L4	L4.3.4.2.1	22-10-2009	G20985/22-10-2009/1
G20986	Malawi	L4	L4.3.4.2.1	27-04-2009	G20986/27-04-2009/1
G20987	Malawi	L4	L4.1.2	21-12-2009	G20987/21-12-2009/1
G20988	Malawi	L4	L4.3.4.2.1	08-04-2010	G20988/08-04-2010/1
G20989	Malawi	L4	L4.3.4.2.1	27-01-2010	G20989/27-01-2010/1
G20990	Malawi	L4	L4.3.4.2.1	11-01-2010	G20990/11-01-2010/1
G20991	Malawi	L4	L4.1.1.3	04-03-2010	G20991/04-03-2010/1
G20992	Malawi	L4	L4.3.4.1	13-01-2010	G20992/13-01-2010/1
G20993	Malawi	L4	L4.3.4.2.1	07-01-2010	G20993/07-01-2010/1
G20994	Malawi	L4	L4.3.4.2.1	13-01-2010	G20994/13-01-2010/1
G20995	Malawi	L4	L4.3.4.2.1	15-06-2010	G20995/15-06-2010/1
G20996	Malawi	L4	L4.3.4.2.1	18-06-2010	G20996/18-06-2010/1
G20997	Malawi	L4	L4.3.4.2.1	22-06-2010	G20997/22-06-2010/1
G20998	Malawi	L4	L4.3.4.2.1	13-07-2010	G20998/13-07-2010/1
G20999	Malawi	L4	L4.3.4.2.1	02-01-1996	G20999/02-01-1996/1
G21000	Malawi	L4	L4.3.4.2.1	29-04-1996	G21000/29-04-1996/1
G21001	Malawi	L4	L4.1.1.3	12-05-1997	G21001/12-05-1997/1
G21002	Malawi	L4	L4.3.2.1	26-05-1997	G21002/26-05-1997/1
G21003	Malawi	L4	L4.3.4.2.1	17-06-1997	G21003/17-06-1997/1
G21004	Malawi	L4	L4.3.4.2.1	22-03-2001	G21004/22-03-2001/1
G21005	Malawi	L4	L4.3.4.2.1	07-09-2001	G21005/07-09-2001/1
G21006	Malawi	L4	L4.1.1.3	16-10-2001	G21006/16-10-2001/1
G21007	Malawi	L4	L4.1.1.3	26-10-2001	G21007/26-10-2001/1
G21008	Malawi	L4	L4.2.2	18-12-2001	G21008/18-12-2001/1
G21009	Malawi	L4	L4.3.4.2.1	08-01-2002	G21009/08-01-2002/1
G21011	Malawi	L4	L4.3.4.2.1	19-07-2002	G21011/19-07-2002/1
G21012	Malawi	L4	L4.3.4.2	09-08-2002	G21012/09-08-2002/1
G21013	Malawi	L4	L4.3.4.2.1	09-09-2002	G21013/09-09-2002/1
G21016	Malawi	L4	L4.3.4.2.1	23-09-2002	G21016/23-09-2002/1
G21017	Malawi	L4	L4.4.1.1	22-10-2002	G21017/22-10-2002/1
G21018	Malawi	L4	L4.3.3	17-12-2002	G21018/17-12-2002/1
G21020	Malawi	L4	L4.3.4.2.1	13-03-2003	G21020/13-03-2003/1
G21021	Malawi	L4	L4.3.4.2	16-12-2002	G21021/16-12-2002/1
G21022	Malawi	L4	L4.3.4.2.1	04-04-2003	G21022/04-04-2003/1
G21023	Malawi	L4	L4.3.4.2.1	28-04-2003	G21023/28-04-2003/1
G21024	Malawi	L4	L4.3.4.1	02-05-2003	G21024/02-05-2003/1
G21025	Malawi	L4	L4.3.4.2.1	05-06-2003	G21025/05-06-2003/1
G21026	Malawi	L4	L4.3.3	18-08-2003	G21026/18-08-2003/1
G21028	Malawi	L4	L4.3.4.2.1	07-04-2005	G21028/07-04-2005/1
G21030	Malawi	L4	L4.3.4.2.1	05-06-2008	G21030/05-06-2008/1
G21031	Malawi	L4	L4.3.4.2.1	26-08-2008	G21031/26-08-2008/1
G21032	Malawi	L4	L4.3.4.2.1	29-09-1999	G21032/29-09-1999/1
G21033	Malawi	L4	L4.3.4.2.1	21-10-2009	G21033/21-10-2009/1
G21035	Malawi	L4	L4.1.2	22-12-2008	G21035/22-12-2008/1
G21036	Malawi	L4	L4.3.4.2.1	24-09-2008	G21036/24-09-2008/1
G21037	Malawi	L4	L4.3.4.2.1	17-02-2009	G21037/17-02-2009/1
G21038	Malawi	L4	L4.3.4.2.1	29-09-1998	G21038/29-09-1998/1
G21039	Malawi	L4	L4.6.2	30-08-2002	G21039/30-08-2002/1
G21040	Malawi	L4	L4.4.1.1	20-09-2002	G21040/20-09-2002/1
G21043	Malawi	L4	L4.3.4.2.1	03-07-1998	G21043/03-07-1998/1
G21044	Malawi	L4	L4.3.4.2.1	09-09-1997	G21044/09-09-1997/1
G21045	Malawi	L4	L4.3.4.2.1	18-03-1997	G21045/18-03-1997/1
G21046	Malawi	L4	L4.3.4.2.1	26-05-1997	G21046/26-05-1997/1
G21047	Malawi	L4	L4.3.4.2.1	27-11-2008	G21047/27-11-2008/1
G21048	Malawi	L4	L4.3.4.2.1	08-07-2009	G21048/08-07-2009/1
G21052	Malawi	L4	L4.1.2	25-09-2000	G21052/25-09-2000/1
G03240	Tanzania	L4	L4.6	21-11-2013	G03240/21-11-2013/1
G03445	Tanzania	L2	L2.2.1.1	28-11-2013	G03445/28-11-2013/1
G03241	Tanzania	L3	L3.1.1	28-11-2013	G03241/28-11-2013/1
G03242	Tanzania	L4	L4.6.1.1	05-12-2013	G03242/05-12-2013/1
G03243	Tanzania	L3	L3.1.1	05-12-2013	G03243/05-12-2013/1
G03245	Tanzania	L2	L2.2.1	10-12-2013	G03245/10-12-2013/1
G03246	Tanzania	L3	L3.1.1	11-12-2013	G03246/11-12-2013/1
G04863	Tanzania	L4	L4.3.3	12-12-2013	G04863/12-12-2013/1
G03247	Tanzania	L1	L1.1.2	16-12-2013	G03247/16-12-2013/1
G03248	Tanzania	L1	L1.1.2	17-12-2013	G03248/17-12-2013/1
G03249	Tanzania	L3	L3.1.1	17-12-2013	G03249/17-12-2013/1
G03250	Tanzania	L1	L1.2.1	28-02-2014	G03250/28-02-2014/1
G03252	Tanzania	L3	L3.1.1	19-12-2013	G03252/19-12-2013/1
G04860	Tanzania	L4	L4.3.3	30-12-2013	G04860/30-12-2013/1
G04309	Tanzania	L3	L3.1.1	31-12-2013	G04309/31-12-2013/1
G04310	Tanzania	L3	L3.1.1	31-12-2013	G04310/31-12-2013/1
G04852	Tanzania	L2	L2.2.1	31-12-2013	G04852/31-12-2013/1
G03446	Tanzania	L3	L3	31-12-2013	G03446/31-12-2013/1
G04865	Tanzania	L4	L4.3.4.2.1	03-01-2014	G04865/03-01-2014/1
G04857	Tanzania	L4	L4.2.2	06-01-2014	G04857/06-01-2014/1
G04311	Tanzania	L3	L3.1.1	06-01-2014	G04311/06-01-2014/1
G04854	Tanzania	L4	L4.3.4.2.1	06-01-2014	G04854/06-01-2014/1
G04312	Tanzania	L1	L1.1.2	08-01-2014	G04312/08-01-2014/1
G04851	Tanzania	L2	L2.2.1	20-01-2014	G04851/20-01-2014/1
G04313	Tanzania	L3	L3.1.1	22-01-2014	G04313/22-01-2014/1
G04314	Tanzania	L3	L3.1.1	27-01-2014	G04314/27-01-2014/1
G04899	Tanzania	L3	L3.1.1	29-01-2014	G04899/29-01-2014/1
G04853	Tanzania	L3	L3.1.1	30-01-2014	G04853/30-01-2014/1
G36224	Tanzania	L1	L1.1.2	31-01-2014	G36224/31-01-2014/1
G04991	Tanzania	L4	L4.3.4.2.1	31-01-2014	G04991/31-01-2014/1
G04861	Tanzania	L1	L1.1.2	03-02-2014	G04861/03-02-2014/1
G04900	Tanzania	L3	L3.1.1	05-02-2014	G04900/05-02-2014/1
G08100	Tanzania	L4	L4.3.4.2	06-02-2014	G08100/06-02-2014/1
G04901	Tanzania	L4	L4.3.4.2.1	07-02-2014	G04901/07-02-2014/1
G08101	Tanzania	L2	L2.2.1	07-02-2014	G08101/07-02-2014/1
G08102	Tanzania	L3	L3.1.1	11-02-2014	G08102/11-02-2014/1
G04992	Tanzania	L4	L4.3.3	12-02-2014	G04992/12-02-2014/1
G08103	Tanzania	L1	L1.1.2	12-02-2014	G08103/12-02-2014/1
G36183	Tanzania	L2	L2.2.1	12-02-2014	G36183/12-02-2014/1
G04902	Tanzania	L3	L3.1.1	13-02-2014	G04902/13-02-2014/1
G04903	Tanzania	L3	L3.1.1	18-02-2014	G04903/18-02-2014/1
G08115	Tanzania	L3	L3.1.1	19-02-2014	G08115/19-02-2014/1
G03447	Tanzania	L3	L3.1.1	18-02-2014	G03447/18-02-2014/1
G21798	Tanzania	L3	L3.1.1	20-02-2014	G21798/20-02-2014/1
G04904	Tanzania	L3	L3.1.1	24-02-2014	G04904/24-02-2014/1
G04905	Tanzania	L4	L4.3.4.2.1	26-02-2014	G04905/26-02-2014/1
G04906	Tanzania	L1	L1.1.2	28-02-2014	G04906/28-02-2014/1
G04856	Tanzania	L3	L3.1.2.1	28-02-2014	G04856/28-02-2014/1
G04993	Tanzania	L4	L4.2.2	04-03-2014	G04993/04-03-2014/1
G08116	Tanzania	L3	L3.1.1	05-03-2014	G08116/05-03-2014/1
G04855	Tanzania	L3	L3.1.1	06-03-2014	G04855/06-03-2014/1
G04907	Tanzania	L3	L3.1.1	11-03-2014	G04907/11-03-2014/1
G04908	Tanzania	L3	L3.1.1	12-03-2014	G04908/12-03-2014/1
G32139	Tanzania	L4	L4.3.4.2.1	12-03-2014	G32139/12-03-2014/1
G04994	Tanzania	L3	L3.1.1	12-03-2014	G04994/12-03-2014/1
G04909	Tanzania	L3	L3.1.1	13-03-2014	G04909/13-03-2014/1
G04858	Tanzania	L2	L2.2.1	13-03-2014	G04858/13-03-2014/1
G36198	Tanzania	L4	L4.3.4.2	13-03-2014	G36198/13-03-2014/1
G04859	Tanzania	L3	L3.1.1	13-03-2014	G04859/13-03-2014/1
G04995	Tanzania	L4	L4.3.4.2.1	14-03-2014	G04995/14-03-2014/1
G04996	Tanzania	L3	L3	17-03-2014	G04996/17-03-2014/1
